# data from ifeffit
#------------------------
#   k         chi         e0
  15.400000      -0.88225769E-02    8330.5100
  15.450000      -0.92597573E-02    8330.5100
  15.500000      -0.87694657E-02    8330.5100
  15.550000      -0.81578485E-02    8330.5100
  15.600000      -0.76149952E-02    8330.5100
  15.650000      -0.77592078E-02    8330.5100
  15.700000      -0.83857924E-02    8330.5100
  15.750000      -0.90148953E-02    8330.5100
  15.800000      -0.92063321E-02    8330.5100
  15.850000      -0.86442466E-02    8330.5100
  15.900000      -0.80821610E-02    8330.5100
  15.950000      -0.75200754E-02    8330.5100
  16.000000      -0.72612927E-02    8330.5100
  16.050000      -0.70144692E-02    8330.5100
  16.100000      -0.67676458E-02    8330.5100
  16.150000      -0.65208223E-02    8330.5100
  16.200000      -0.62739988E-02    8330.5100
  16.250000      -0.60271754E-02    8330.5100
  16.300000      -0.57803519E-02    8330.5100
  16.350000      -0.55335284E-02    8330.5100
  16.400000      -0.52867050E-02    8330.5100
  16.450000      -0.50398815E-02    8330.5100
  16.500000      -0.47930580E-02    8330.5100
  16.550000      -0.45462346E-02    8330.5100
  16.600000      -0.42994111E-02    8330.5100
  16.650000      -0.40525876E-02    8330.5100
  16.700000      -0.38057642E-02    8330.5100
  16.750000      -0.35589407E-02    8330.5100
  16.800000      -0.33121172E-02    8330.5100
  16.850000      -0.30652938E-02    8330.5100
  16.900000      -0.28184703E-02    8330.5100
  16.950000      -0.25716468E-02    8330.5100
  17.000000      -0.23248234E-02    8330.5100
  17.050000      -0.20779999E-02    8330.5100
  17.100000      -0.18311764E-02    8330.5100
  17.150000      -0.15843530E-02    8330.5100
  17.200000      -0.13375295E-02    8330.5100
  17.250000      -0.10907060E-02    8330.5100
  17.300000      -0.84388256E-03    8330.5100
  17.350000      -0.59705909E-03    8330.5100
  17.400000      -0.35023562E-03    8330.5100
  17.450000      -0.10341215E-03    8330.5100
  17.500000       0.14341132E-03    8330.5100
  17.550000       0.45970844E-03    8330.5100
  17.600000       0.82301581E-03    8330.5100
  17.650000       0.11863232E-02    8330.5100
  17.700000       0.15496305E-02    8330.5100
  17.750000       0.19129379E-02    8330.5100
  17.800000       0.22762453E-02    8330.5100
  17.850000       0.26395526E-02    8330.5100
  17.900000       0.30028600E-02    8330.5100
  17.950000       0.33661674E-02    8330.5100
  18.000000       0.37294747E-02    8330.5100
  18.050000       0.40927821E-02    8330.5100
  18.100000       0.44560895E-02    8330.5100
  18.150000       0.48193968E-02    8330.5100
  18.200000       0.51827042E-02    8330.5100
  18.250000       0.55460116E-02    8330.5100
  18.300000       0.59093189E-02    8330.5100
  18.350000       0.62726263E-02    8330.5100
  18.400000       0.66359336E-02    8330.5100
  18.450000       0.69992410E-02    8330.5100
  18.500000       0.73625484E-02    8330.5100
  18.550000       0.77258557E-02    8330.5100
  18.600000       0.80891631E-02    8330.5100
  18.650000       0.84524705E-02    8330.5100
  18.700000       0.88157778E-02    8330.5100
  18.750000       0.91790852E-02    8330.5100
  18.800000       0.95423926E-02    8330.5100
  18.850000       0.99056999E-02    8330.5100
  18.900000       0.10269007E-01    8330.5100
  18.950000       0.10632315E-01    8330.5100
  19.000000       0.10029488E-01    8330.5100
  19.050000       0.92115295E-02    8330.5100
  19.100000       0.83935707E-02    8330.5100
  19.150000       0.75756119E-02    8330.5100
  19.200000       0.67576530E-02    8330.5100
  19.250000       0.59396942E-02    8330.5100
  19.300000       0.51217354E-02    8330.5100
  19.350000       0.43037766E-02    8330.5100
  19.400000       0.34858177E-02    8330.5100
  19.450000       0.26678589E-02    8330.5100
  19.500000       0.18499001E-02    8330.5100
  19.550000       0.10319412E-02    8330.5100
  19.600000       0.21398242E-03    8330.5100
  19.650000      -0.60397640E-03    8330.5100
  19.700000      -0.14219352E-02    8330.5100
  19.750000      -0.22398941E-02    8330.5100
  19.800000      -0.30578529E-02    8330.5100
  19.850000      -0.38758117E-02    8330.5100
  19.900000      -0.46937705E-02    8330.5100
  19.950000      -0.55117294E-02    8330.5100
  20.000000      -0.63296882E-02    8330.5100
  20.050000      -0.71476470E-02    8330.5100
  20.100000      -0.79656058E-02    8330.5100
  20.150000      -0.87835647E-02    8330.5100
  20.200000      -0.96015235E-02    8330.5100
  20.250000      -0.10419482E-01    8330.5100
