# data from ifeffit
#------------------------
#   pre         bkg         e0
  57.653267        57.653267        20006.008
  60.359368        60.359368        20006.008
  63.435290        63.435290        20006.008
  66.243365        73.749897        20006.008
  68.959999        73.736880        20006.008
  70.976093        73.723821        20006.008
  72.662086        73.710676        20006.008
  73.948252        73.697445        20006.008
  74.973957        73.684083        20006.008
  75.577396        73.670681        20006.008
  75.981660        73.657148        20006.008
  76.025458        73.643625        20006.008
  75.728259        73.629971        20006.008
  75.243294        73.616187        20006.008
  74.539847        73.602366        20006.008
  73.533557        73.588464        20006.008
  72.372359        73.574479        20006.008
  71.297786        73.561770        20006.008
  70.336599        73.547630        20006.008
  69.373597        73.533361        20006.008
  70.424108        73.386644        20006.008
  70.880461        73.371612        20006.008
  71.283871        73.356401        20006.008
  71.509001        73.341166        20006.008
  71.682638        73.327386        20006.008
  71.777106        73.311956        20006.008
  71.824830        73.296558        20006.008
  71.776422        73.280979        20006.008
  71.699638        73.265381        20006.008
  71.640944        73.249655        20006.008
  71.605858        73.233911        20006.008
  71.423374        73.218094        20006.008
  71.410251        73.202206        20006.008
  71.409427        73.186191        20006.008
  71.464436        73.170161        20006.008
  71.579009        73.154059        20006.008
  71.749122        73.137888        20006.008
  72.020884        73.121591        20006.008
  72.325351        73.106909        20006.008
  72.735589        73.090537        20006.008
  73.204085        73.074039        20006.008
  73.501581        73.057587        20006.008
  73.881842        73.040953        20006.008
  74.271707        73.024309        20006.008
  74.661385        73.007541        20006.008
  75.063028        72.990821        20006.008
  75.409316        72.973920        20006.008
  75.803370        72.957011        20006.008
  76.217573        72.939978        20006.008
  76.639272        72.922940        20006.008
  77.162686        72.905836        20006.008
  77.524126        72.890383        20006.008
  77.970412        72.873159        20006.008
  78.441790        72.855812        20006.008
  78.834629        72.838462        20006.008
  79.183049        72.821049        20006.008
  79.483143        72.803575        20006.008
  79.699075        72.785979        20006.008
  79.777858        72.768383        20006.008
  79.670805        72.750664        20006.008
  79.561027        72.733008        20006.008
  79.205389        72.715170        20006.008
  78.682493        72.697333        20006.008
  78.114650        72.681223        20006.008
  77.434075        72.663214        20006.008
  76.696342        72.645269        20006.008
  75.895509        72.627143        20006.008
  75.125712        72.609022        20006.008
  74.354362        72.590781        20006.008
  73.620469        72.572546        20006.008
  73.013604        72.554256        20006.008
  69.777732        72.370112        20006.008
  69.723067        72.351174        20006.008
  69.721085        72.332249        20006.008
  69.755804        72.313208        20006.008
  69.880021        72.296081        20006.008
  69.953175        72.277076        20006.008
  70.102653        72.257890        20006.008
  70.257744        72.238722        20006.008
  70.447688        72.219438        20006.008
  70.706883        72.200173        20006.008
  70.936077        72.180860        20006.008
  72.074387        71.986973        20006.008
  72.048334        71.967168        20006.008
  71.926008        71.947253        20006.008
  71.853160        71.927363        20006.008
  71.717049        71.909420        20006.008
  71.613075        71.889451        20006.008
  71.487947        71.869442        20006.008
  71.383903        71.849323        20006.008
  71.232598        71.829233        20006.008
  71.051678        71.809034        20006.008
  70.953906        71.788934        20006.008
  69.705498        71.587018        20006.008
  69.611863        71.566449        20006.008
  69.604520        71.547901        20006.008
  69.653799        71.527196        20006.008
  69.739171        71.506530        20006.008
  69.857566        71.485830        20006.008
  70.012057        71.465098        20006.008
  70.201321        71.444262        20006.008
