 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.254 Rnm= 1.300 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.043
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.608E+01 Rs_int= 1.514
 S02  1.000                                        Global sig2  0.00100
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    7250.549    140.673   5.950  1.05385E+00  1.00289E+00  5.01919E-02
    7252.825    142.949   6.000  1.05442E+00  1.00065E+00  5.31145E-02
    7255.121    145.245   6.050  1.05374E+00  9.98732E-01  5.44551E-02
    7257.435    147.559   6.100  1.05124E+00  9.96819E-01  5.40002E-02
    7259.769    149.893   6.150  1.04700E+00  9.94906E-01  5.18108E-02
    7262.122    152.246   6.200  1.04117E+00  9.92993E-01  4.80297E-02
    7264.493    154.617   6.250  1.03399E+00  9.91079E-01  4.28734E-02
    7266.884    157.008   6.300  1.02573E+00  9.89166E-01  3.66182E-02
    7269.294    159.418   6.350  1.01672E+00  9.87253E-01  2.95816E-02
    7271.723    161.847   6.400  1.00730E+00  9.85340E-01  2.21014E-02
    7274.171    164.295   6.450  9.97817E-01  9.83427E-01  1.45132E-02
    7276.638    166.762   6.500  9.88566E-01  9.81514E-01  7.12911E-03
    7279.124    169.248   6.550  9.80499E-01  9.80466E-01  3.30443E-05
    7281.629    171.753   6.600  9.73051E-01  9.79418E-01 -6.45316E-03
    7284.153    174.277   6.650  9.66405E-01  9.78371E-01 -1.21405E-02
    7286.696    176.820   6.700  9.60684E-01  9.77323E-01 -1.69033E-02
    7289.258    179.382   6.750  9.55945E-01  9.76275E-01 -2.06783E-02
    7291.839    181.963   6.800  9.52192E-01  9.75228E-01 -2.34589E-02
    7294.440    184.564   6.850  9.49381E-01  9.74180E-01 -2.52846E-02
    7297.059    187.183   6.900  9.47439E-01  9.73132E-01 -2.62291E-02
    7299.698    189.822   6.950  9.46268E-01  9.72085E-01 -2.63867E-02
    7302.355    192.479   7.000  9.45766E-01  9.71037E-01 -2.58606E-02
    7305.031    195.155   7.050  9.46343E-01  9.70808E-01 -2.50431E-02
    7307.727    197.851   7.100  9.47448E-01  9.70579E-01 -2.36846E-02
    7310.442    200.566   7.150  9.49005E-01  9.70351E-01 -2.18619E-02
    7313.175    203.299   7.200  9.50943E-01  9.70122E-01 -1.96486E-02
    7315.928    206.052   7.250  9.53191E-01  9.69893E-01 -1.71162E-02
    7318.700    208.824   7.300  9.55678E-01  9.69664E-01 -1.43366E-02
    7321.491    211.615   7.350  9.58333E-01  9.69435E-01 -1.13843E-02
    7324.300    214.424   7.400  9.61077E-01  9.69207E-01 -8.33818E-03
    7327.129    217.253   7.450  9.63829E-01  9.68978E-01 -5.28248E-03
    7329.977    220.101   7.500  9.66503E-01  9.68749E-01 -2.30507E-03
    7332.844    222.968   7.550  9.69090E-01  9.68545E-01  5.59133E-04
    7335.730    225.854   7.600  9.71548E-01  9.68342E-01  3.29206E-03
    7338.636    228.760   7.650  9.73801E-01  9.68138E-01  5.81712E-03
    7341.560    231.684   7.700  9.75782E-01  9.67935E-01  8.06323E-03
    7344.503    234.627   7.750  9.77431E-01  9.67731E-01  9.96949E-03
    7347.465    237.589   7.800  9.78702E-01  9.67527E-01  1.14894E-02
    7350.447    240.571   7.850  9.79570E-01  9.67324E-01  1.25943E-02
    7353.447    243.571   7.900  9.80024E-01  9.67120E-01  1.32746E-02
    7356.466    246.590   7.950  9.80074E-01  9.66917E-01  1.35405E-02
    7359.505    249.629   8.000  9.79749E-01  9.66713E-01  1.34195E-02
    7362.562    252.686   8.050  9.78745E-01  9.65951E-01  1.31839E-02
