# data from ifeffit
#------------------------
#   k         chi       k         chi         dchi         win
  5.2000000      -0.46239765E-01    5.2000000      -0.47071493E-01   0.18010941E-01    1.0000000
  5.2500000      -0.47405858E-01    5.2500000      -0.48701629E-01   0.18035108E-01    1.0000000
  5.3000000      -0.47454514E-01    5.3000000      -0.48224036E-01   0.17132342E-01    1.0000000
  5.3500000      -0.46349514E-01    5.3500000      -0.46922514E-01   0.16462571E-01    1.0000000
  5.4000000      -0.44104648E-01    5.4000000      -0.45078404E-01   0.16036593E-01    1.0000000
  5.4500000      -0.40864723E-01    5.4500000      -0.41931361E-01   0.16134166E-01    1.0000000
  5.5000000      -0.36602483E-01    5.5000000      -0.37906172E-01   0.15927869E-01    1.0000000
  5.5500000      -0.31441420E-01    5.5500000      -0.33380855E-01   0.15426616E-01    1.0000000
  5.6000000      -0.25553263E-01    5.6000000      -0.28595557E-01   0.15329811E-01    1.0000000
  5.6500000      -0.19136306E-01    5.6500000      -0.22402548E-01   0.15221630E-01    1.0000000
  5.7000000      -0.12361443E-01    5.7000000      -0.16356151E-01   0.15071755E-01    1.0000000
  5.7500000      -0.54648880E-02    5.7500000      -0.10739510E-01   0.15286205E-01    1.0000000
  5.8000000       0.13166544E-02    5.8000000      -0.47654844E-02   0.14697094E-01    1.0000000
  5.8500000       0.78875401E-02    5.8500000       0.11543718E-02   0.14446574E-01    1.0000000
  5.9000000       0.13958462E-01    5.9000000       0.67125330E-02   0.14048818E-01    1.0000000
  5.9500000       0.19346002E-01    5.9500000       0.12283429E-01   0.13180285E-01    1.0000000
  6.0000000       0.23913536E-01    6.0000000       0.17903880E-01   0.12459719E-01    1.0000000
  6.0500000       0.27747695E-01    6.0500000       0.25223048E-01   0.12164692E-01    1.0000000
  6.1000000       0.30600690E-01    6.1000000       0.28567435E-01   0.11883446E-01    1.0000000
  6.1500000       0.32429736E-01    6.1500000       0.27799594E-01   0.11309742E-01    1.0000000
  6.2000000       0.33241117E-01    6.2000000       0.28341898E-01   0.10970547E-01    1.0000000
  6.2500000       0.33072929E-01    6.2500000       0.29099404E-01   0.10248925E-01    1.0000000
  6.3000000       0.31989409E-01    6.3000000       0.28542536E-01   0.10279519E-01    1.0000000
  6.3500000       0.30075638E-01    6.3500000       0.25874139E-01   0.98782502E-02    1.0000000
  6.4000000       0.27433015E-01    6.4000000       0.23229539E-01   0.93907741E-02    1.0000000
  6.4500000       0.24175576E-01    6.4500000       0.20293729E-01   0.91789299E-02    1.0000000
  6.5000000       0.20426974E-01    6.5000000       0.16005538E-01   0.90981332E-02    1.0000000
  6.5500000       0.16207648E-01    6.5500000       0.11271089E-01   0.88747373E-02    1.0000000
  6.6000000       0.11714990E-01    6.6000000       0.57825857E-02   0.90165900E-02    1.0000000
  6.6500000       0.71040228E-02    6.6500000       0.13872608E-02   0.86752314E-02    1.0000000
  6.7000000       0.25223363E-02    6.7000000      -0.22653415E-02   0.85438059E-02    1.0000000
  6.7500000      -0.18899614E-02    6.7500000      -0.62371202E-02   0.86357416E-02    1.0000000
  6.8000000      -0.60054562E-02    6.8000000      -0.10379194E-01   0.85836032E-02    1.0000000
  6.8500000      -0.97143364E-02    6.8500000      -0.14083010E-01   0.84133018E-02    1.0000000
  6.9000000      -0.12928478E-01    6.9000000      -0.15753387E-01   0.85119357E-02    1.0000000
  6.9500000      -0.15584223E-01    6.9500000      -0.17339440E-01   0.81830662E-02    1.0000000
  7.0000000      -0.17643489E-01    7.0000000      -0.19336705E-01   0.29325998E-01    1.0000000
  7.0500000      -0.19142050E-01    7.0500000      -0.19422396E-01   0.21220851E-01    1.0000000
  7.1000000      -0.19998135E-01    7.1000000      -0.20176993E-01   0.16774958E-01    1.0000000
  7.1500000      -0.20235494E-01    7.1500000      -0.20076070E-01   0.14035901E-01    1.0000000
  7.2000000      -0.19899284E-01    7.2000000      -0.18972673E-01   0.12426280E-01    1.0000000
  7.2500000      -0.19047272E-01    7.2500000      -0.18707181E-01   0.11127214E-01    1.0000000
  7.3000000      -0.17744973E-01    7.3000000      -0.17821064E-01   0.10313625E-01    1.0000000
  7.3500000      -0.16061472E-01    7.3500000      -0.15727103E-01   0.92652880E-02    1.0000000
  7.4000000      -0.14066294E-01    7.4000000      -0.13296077E-01   0.87079614E-02    1.0000000
  7.4500000      -0.11827460E-01    7.4500000      -0.11464291E-01   0.79743485E-02    1.0000000
  7.5000000      -0.94106585E-02    7.5000000      -0.92695656E-02   0.74845456E-02    1.0000000
  7.5500000      -0.68187954E-02    7.5500000      -0.69626145E-02   0.71046637E-02    1.0000000
  7.6000000      -0.41776222E-02    7.6000000      -0.40101648E-02   0.67566763E-02    1.0000000
  7.6500000      -0.15568252E-02    7.6500000      -0.16828208E-02   0.64463625E-02    1.0000000
  7.7000000       0.97939508E-03    7.7000000       0.10712556E-02   0.63492746E-02    1.0000000
  7.7500000       0.33697202E-02    7.7500000       0.43272418E-02   0.62065438E-02    1.0000000
  7.8000000       0.55567300E-02    7.8000000       0.58433204E-02   0.60763059E-02    1.0000000
  7.8500000       0.74884233E-02    7.8500000       0.74317994E-02   0.59958689E-02    1.0000000
  7.9000000       0.91200821E-02    7.9000000       0.93929982E-02   0.59536279E-02    1.0000000
  7.9500000       0.10416227E-01    7.9500000       0.11050900E-01   0.58517829E-02    1.0000000
  8.0000000       0.11352371E-01    8.0000000       0.11751090E-01   0.59456633E-02    1.0000000
  8.0500000       0.11912225E-01    8.0500000       0.12323187E-01   0.60215196E-02    1.0000000
  8.1000000       0.12099702E-01    8.1000000       0.12992225E-01   0.61551463E-02    1.0000000
  8.1500000       0.11929166E-01    8.1500000       0.12320852E-01   0.60433201E-02    1.0000000
  8.2000000       0.11426266E-01    8.2000000       0.11932738E-01   0.61170766E-02    1.0000000
  8.2500000       0.10626448E-01    8.2500000       0.12279566E-01   0.62934511E-02    1.0000000
  8.3000000       0.95728248E-02    8.3000000       0.11536445E-01   0.63090397E-02    1.0000000
  8.3500000       0.83137711E-02    8.3500000       0.10411434E-01   0.65416018E-02    1.0000000
  8.4000000       0.69004716E-02    8.4000000       0.87842484E-02   0.65551320E-02    1.0000000
  8.4500000       0.53846295E-02    8.4500000       0.72783745E-02   0.65362363E-02    1.0000000
  8.5000000       0.38164933E-02    8.5000000       0.53379064E-02   0.65358851E-02    1.0000000
  8.5500000       0.22552836E-02    8.5500000       0.32604381E-02   0.66808288E-02    1.0000000
  8.6000000       0.72502455E-03    8.6000000       0.25267076E-02   0.67878617E-02    1.0000000
  8.6500000      -0.73664087E-03    8.6500000       0.60419728E-03   0.68621568E-02    1.0000000
  8.7000000      -0.20963621E-02    8.7000000      -0.59422210E-03   0.69769719E-02    1.0000000
  8.7500000      -0.33259043E-02    8.7500000      -0.15588764E-02   0.71252135E-02    1.0000000
  8.8000000      -0.44020798E-02    8.8000000      -0.33767685E-02   0.72753024E-02    1.0000000
  8.8500000      -0.53065736E-02    8.8500000      -0.40427686E-02   0.73765328E-02    1.0000000
  8.9000000      -0.60257509E-02    8.9000000      -0.47232524E-02   0.74189224E-02    1.0000000
  8.9500000      -0.65505077E-02    8.9500000      -0.54231221E-02   0.75891645E-02    1.0000000
  9.0000000      -0.68761987E-02    9.0000000      -0.60206035E-02   0.75886221E-02    1.0000000
  9.0500000      -0.70420496E-02    9.0500000      -0.65791397E-02   0.77753301E-02    1.0000000
  9.1000000      -0.70147915E-02    9.1000000      -0.60188325E-02   0.78512875E-02    1.0000000
  9.1500000      -0.67993877E-02    9.1500000      -0.51847549E-02   0.81093169E-02    1.0000000
  9.2000000      -0.64068285E-02    9.2000000      -0.48457735E-02   0.82619490E-02    1.0000000
  9.2500000      -0.58524411E-02    9.2500000      -0.43115706E-02   0.83806600E-02    1.0000000
  9.3000000      -0.51556883E-02    9.3000000      -0.35829306E-02   0.86436540E-02    1.0000000
  9.3500000      -0.43398135E-02    9.3500000      -0.28120699E-02   0.86388180E-02    1.0000000
  9.4000000      -0.34313016E-02    9.4000000      -0.21249638E-02   0.89592221E-02    1.0000000
  9.4500000      -0.24591507E-02    9.4500000      -0.12379051E-02   0.90252142E-02    1.0000000
  9.5000000      -0.14539677E-02    9.5000000      -0.19918157E-03   0.93354495E-02    1.0000000
  9.5500000      -0.42626434E-03    9.5500000       0.73124962E-03   0.92877940E-02    1.0000000
  9.6000000       0.58430716E-03    9.6000000       0.18110052E-02   0.94504224E-02    1.0000000
  9.6500000       0.15458597E-02    9.6500000       0.28029021E-02   0.95144607E-02    1.0000000
  9.7000000       0.24293253E-02    9.7000000       0.39426294E-02   0.96695251E-02    1.0000000
  9.7500000       0.32089326E-02    9.7500000       0.48891527E-02   0.96999021E-02    1.0000000
  9.8000000       0.38631037E-02    9.8000000       0.60955663E-02   0.97472679E-02    1.0000000
  9.8500000       0.43751438E-02    9.8500000       0.64751167E-02   0.98685338E-02    1.0000000
  9.9000000       0.47336893E-02    9.9000000       0.59504699E-02   0.98734243E-02    1.0000000
  9.9500000       0.49329055E-02    9.9500000       0.56748709E-02   0.99139581E-02    1.0000000
  10.000000       0.49724413E-02    10.000000       0.60732699E-02   0.98298986E-02    1.0000000
  10.050000       0.48789014E-02    10.050000       0.62133056E-02   0.97355381E-02    1.0000000
  10.100000       0.46280102E-02    10.100000       0.54368680E-02   0.96731825E-02    1.0000000
  10.150000       0.42321500E-02    10.150000       0.45883170E-02   0.96167228E-02    1.0000000
  10.200000       0.37090393E-02    10.200000       0.32150377E-02   0.96815869E-02    1.0000000
  10.250000       0.30798736E-02    10.250000       0.29336907E-02   0.95446439E-02    1.0000000
  10.300000       0.23684651E-02    10.300000       0.24077001E-02   0.94457994E-02    1.0000000
  10.350000       0.16003845E-02    10.350000       0.97055203E-03   0.93980223E-02    1.0000000
  10.400000       0.80212920E-03    10.400000      -0.23726504E-04   0.93402533E-02    1.0000000
  10.450000       0.33200057E-06    10.450000      -0.63325634E-03   0.91105439E-02    1.0000000
  10.500000      -0.77898766E-03    10.500000      -0.15811075E-02   0.89941446E-02    1.0000000
  10.550000      -0.15111315E-02    10.550000      -0.30722380E-02   0.88478920E-02    1.0000000
  10.600000      -0.21733923E-02    10.600000      -0.33637453E-02   0.86506380E-02    1.0000000
  10.650000      -0.27456859E-02    10.650000      -0.44353876E-02   0.85173525E-02    1.0000000
  10.700000      -0.32111375E-02    10.700000      -0.46840796E-02   0.84730050E-02    1.0000000
  10.750000      -0.35566085E-02    10.750000      -0.44215013E-02   0.83799195E-02    1.0000000
  10.800000      -0.37731403E-02    10.800000      -0.49323366E-02   0.81683164E-02    1.0000000
  10.850000      -0.38562877E-02    10.850000      -0.47228136E-02   0.82090952E-02    1.0000000
  10.900000      -0.38063115E-02    10.900000      -0.48344809E-02   0.80834699E-02    1.0000000
  10.950000      -0.36282024E-02    10.950000      -0.43780120E-02   0.80840822E-02    1.0000000
  11.000000      -0.33315136E-02    11.000000      -0.41279142E-02   0.80557206E-02    1.0000000
  11.050000      -0.29288676E-02    11.050000      -0.37813431E-02   0.80365612E-02    1.0000000
  11.100000      -0.24347333E-02    11.100000      -0.30228552E-02   0.78206916E-02    1.0000000
  11.150000      -0.18697456E-02    11.150000      -0.28553607E-02   0.78345800E-02    1.0000000
  11.200000      -0.12568513E-02    11.200000      -0.20796547E-02   0.78228438E-02    1.0000000
  11.250000      -0.62025714E-03    11.250000      -0.12117027E-02   0.77735632E-02    1.0000000
  11.300000       0.15652622E-04    11.300000       0.13392400E-04   0.77374137E-02    1.0000000
  11.350000       0.62739027E-03    11.350000       0.11032693E-02   0.76664793E-02    1.0000000
  11.400000       0.11933644E-02    11.400000       0.74939007E-03   0.76785965E-02    1.0000000
  11.450000       0.16947430E-02    11.450000       0.59313826E-03   0.76894164E-02    1.0000000
  11.500000       0.21161305E-02    11.500000       0.13566430E-02   0.75900358E-02    1.0000000
  11.550000       0.24460260E-02    11.550000       0.20244923E-02   0.77257904E-02    1.0000000
  11.600000       0.26770489E-02    11.600000       0.23701626E-02   0.77509061E-02    1.0000000
  11.650000       0.28059401E-02    11.650000       0.24599724E-02   0.76569292E-02    1.0000000
  11.700000       0.28333630E-02    11.700000       0.23483178E-02   0.76143936E-02    1.0000000
  11.750000       0.27635446E-02    11.750000       0.24806804E-02   0.76958702E-02    1.0000000
  11.800000       0.26038023E-02    11.800000       0.19218837E-02   0.76322278E-02    1.0000000
  11.850000       0.23640071E-02    11.850000       0.12921596E-02   0.76477852E-02   1.00000000
  11.900000       0.20560263E-02    11.900000       0.15268923E-02   0.76247863E-02   0.93301117
  11.950000       0.16931814E-02    11.950000       0.13995250E-02   0.76219567E-02   0.74999788
  12.000000       0.12897433E-02    12.000000       0.78742489E-03   0.76928297E-02   0.49999817
  12.050000       0.86553854E-03    12.050000       0.43307648E-03   0.77013262E-02   0.24999894
  12.100000       0.43249382E-03    12.100000       0.30717508E-03   0.76948368E-02   0.66986993E-01
  12.150000       0.44589250E-05    12.150000      -0.54137147E-03   0.76777088E-02    0.0000000
  12.200000      -0.40529909E-03    12.200000      -0.14405215E-02   0.75375591E-02    0.0000000
  12.250000      -0.78453610E-03    12.250000      -0.15466327E-02   0.76025105E-02    0.0000000
  12.300000      -0.11223398E-02    12.300000      -0.13995163E-02   0.76183035E-02    0.0000000
  12.350000      -0.14094248E-02    12.350000      -0.18451948E-02   0.76555689E-02    0.0000000
  12.400000      -0.16384044E-02    12.400000      -0.20606385E-02   0.77139075E-02    0.0000000
  12.450000      -0.18040206E-02    12.450000      -0.22245738E-02   0.76994318E-02    0.0000000
  12.500000      -0.22830264E-02    12.500000      -0.22830264E-02   0.76776392E-02    0.0000000
  12.550000      -0.19842550E-02    12.550000      -0.19842550E-02   0.75632529E-02    0.0000000
  12.600000      -0.16516554E-02    12.600000      -0.16516554E-02   0.76478044E-02    0.0000000
  12.650000      -0.17678877E-02    12.650000      -0.17678877E-02   0.76235249E-02    0.0000000
  12.700000      -0.18055159E-02    12.700000      -0.18055159E-02   0.76787807E-02    0.0000000
  12.750000      -0.14219715E-02    12.750000      -0.14219715E-02   0.75596365E-02    0.0000000
  12.800000      -0.11908468E-02    12.800000      -0.11908468E-02   0.76727876E-02    0.0000000
  12.850000      -0.10604922E-02    12.850000      -0.10604922E-02   0.76761152E-02    0.0000000
  12.900000      -0.46805316E-03    12.900000      -0.46805316E-03   0.76776485E-02    0.0000000
  12.950000       0.35238167E-03    12.950000       0.35238167E-03   0.76385005E-02    0.0000000
  13.000000       0.69702922E-03    13.000000       0.69702922E-03   0.76748689E-02    0.0000000
  13.050000       0.79554444E-03    13.050000       0.79554444E-03   0.75985193E-02    0.0000000
  13.100000       0.13472100E-02    13.100000       0.13472100E-02   0.75933206E-02    0.0000000
  13.150000       0.18675518E-02    13.150000       0.18675518E-02   0.76046059E-02    0.0000000
  13.200000       0.20271641E-02    13.200000       0.20271641E-02   0.74187382E-02    0.0000000
  13.250000       0.24855900E-02    13.250000       0.24855900E-02   0.76771206E-02    0.0000000
  13.300000       0.28470024E-02    13.300000       0.28470024E-02   0.76283638E-02    0.0000000
  13.350000       0.28549470E-02    13.350000       0.28549470E-02   0.74910886E-02    0.0000000
  13.400000       0.27812514E-02    13.400000       0.27812514E-02   0.75179730E-02    0.0000000
  13.450000       0.28332643E-02    13.450000       0.28332643E-02   0.74686765E-02    0.0000000
  13.500000       0.29413019E-02    13.500000       0.29413019E-02   0.76385062E-02    0.0000000
  13.550000       0.28673852E-02    13.550000       0.28673852E-02   0.73793002E-02    0.0000000
  13.600000       0.28903957E-02    13.600000       0.28903957E-02   0.74338327E-02    0.0000000
  13.650000       0.24853281E-02    13.650000       0.24853281E-02   0.74402031E-02    0.0000000
  13.700000       0.20379113E-02    13.700000       0.20379113E-02   0.76670270E-02    0.0000000
  13.750000       0.21494950E-02    13.750000       0.21494950E-02   0.74796879E-02    0.0000000
  13.800000       0.22445193E-02    13.800000       0.22445193E-02   0.75129316E-02    0.0000000
  13.850000       0.18587020E-02    13.850000       0.18587020E-02   0.75570504E-02    0.0000000
  13.900000       0.12642276E-02    13.900000       0.12642276E-02   0.74641602E-02    0.0000000
  13.950000       0.10448802E-02    13.950000       0.10448802E-02   0.75014969E-02    0.0000000
  14.000000       0.92081016E-03    14.000000       0.92081016E-03   0.74242942E-02    0.0000000
  14.050000       0.61441173E-03    14.050000       0.61441173E-03   0.75223605E-02    0.0000000
  14.100000       0.23671594E-03    14.100000       0.23671594E-03   0.75060589E-02    0.0000000
  14.150000      -0.27970652E-03    14.150000      -0.27970652E-03   0.74641210E-02    0.0000000
  14.200000      -0.61778699E-03    14.200000      -0.61778699E-03   0.75368937E-02    0.0000000
  14.250000      -0.95363031E-03    14.250000      -0.95363031E-03   0.73500138E-02    0.0000000
  14.300000      -0.11528854E-02    14.300000      -0.11528854E-02   0.72801628E-02    0.0000000
  14.350000      -0.10031203E-02    14.350000      -0.10031203E-02   0.73025950E-02    0.0000000
  14.400000      -0.71039477E-03    14.400000      -0.71039477E-03   0.73711137E-02    0.0000000
  14.450000      -0.99454522E-03    14.450000      -0.99454522E-03   0.74434066E-02    0.0000000
  14.500000      -0.10213174E-02    14.500000      -0.10213174E-02   0.72947418E-02    0.0000000
  14.550000      -0.11338323E-02    14.550000      -0.11338323E-02   0.73088578E-02    0.0000000
  14.600000      -0.15219894E-02    14.600000      -0.15219894E-02   0.72738433E-02    0.0000000
  14.650000      -0.15097391E-02    14.650000      -0.15097391E-02   0.73566412E-02    0.0000000
