# data from ifeffit
#------------------------
#   k         chi       k         chi         dchi         win
  5.8500000       0.75597541E-02    5.8500000       0.11543718E-02   0.14446574E-01    1.0000000
  5.9000000       0.13632363E-01    5.9000000       0.67125330E-02   0.14048818E-01    1.0000000
  5.9500000       0.19031583E-01    5.9500000       0.12283429E-01   0.13180285E-01    1.0000000
  6.0000000       0.23616038E-01    6.0000000       0.17903880E-01   0.12459719E-01    1.0000000
  6.0500000       0.27395305E-01    6.0500000       0.25223048E-01   0.12164692E-01    1.0000000
  6.1000000       0.30268995E-01    6.1000000       0.28567435E-01   0.11883446E-01    1.0000000
  6.1500000       0.32116752E-01    6.1500000       0.27799594E-01   0.11309742E-01    1.0000000
  6.2000000       0.32943163E-01    6.2000000       0.28341898E-01   0.10970547E-01    1.0000000
  6.2500000       0.32785488E-01    6.2500000       0.29099404E-01   0.10248925E-01    1.0000000
  6.3000000       0.31707822E-01    6.3000000       0.28542536E-01   0.10279519E-01    1.0000000
  6.3500000       0.29795612E-01    6.3500000       0.25874139E-01   0.98782502E-02    1.0000000
  6.4000000       0.27150975E-01    6.4000000       0.23229539E-01   0.93907741E-02    1.0000000
  6.4500000       0.23888907E-01    6.4500000       0.20293729E-01   0.91789299E-02    1.0000000
  6.5000000       0.20134195E-01    6.5000000       0.16005538E-01   0.90981332E-02    1.0000000
  6.5500000       0.15948540E-01    6.5500000       0.11271089E-01   0.88747373E-02    1.0000000
  6.6000000       0.11457223E-01    6.6000000       0.57825857E-02   0.90165900E-02    1.0000000
  6.6500000       0.68489869E-02    6.6500000       0.13872608E-02   0.86752314E-02    1.0000000
  6.7000000       0.22730129E-02    6.7000000      -0.22653415E-02   0.85438059E-02    1.0000000
  6.7500000      -0.21291375E-02    6.7500000      -0.62371202E-02   0.86357416E-02    1.0000000
  6.8000000      -0.62288869E-02    6.8000000      -0.10379194E-01   0.85836032E-02    1.0000000
  6.8500000      -0.99156899E-02    6.8500000      -0.14083010E-01   0.84133018E-02    1.0000000
  6.9000000      -0.13101225E-01    6.9000000      -0.15753387E-01   0.85119357E-02    1.0000000
  6.9500000      -0.15722215E-01    6.9500000      -0.17339440E-01   0.81830662E-02    1.0000000
  7.0000000      -0.17741517E-01    7.0000000      -0.19336705E-01   0.29325998E-01    1.0000000
  7.0500000      -0.19178557E-01    7.0500000      -0.19422396E-01   0.21220851E-01    1.0000000
  7.1000000      -0.19994287E-01    7.1000000      -0.20176993E-01   0.16774958E-01    1.0000000
  7.1500000      -0.20190856E-01    7.1500000      -0.20076070E-01   0.14035901E-01    1.0000000
  7.2000000      -0.19814973E-01    7.2000000      -0.18972673E-01   0.12426280E-01    1.0000000
  7.2500000      -0.18925687E-01    7.2500000      -0.18707181E-01   0.11127214E-01    1.0000000
  7.3000000      -0.17589394E-01    7.3000000      -0.17821064E-01   0.10313625E-01    1.0000000
  7.3500000      -0.15875620E-01    7.3500000      -0.15727103E-01   0.92652880E-02    1.0000000
  7.4000000      -0.13853918E-01    7.4000000      -0.13296077E-01   0.87079614E-02    1.0000000
  7.4500000      -0.11592041E-01    7.4500000      -0.11464291E-01   0.79743485E-02    1.0000000
  7.5000000      -0.91552670E-02    7.5000000      -0.92695656E-02   0.74845456E-02    1.0000000
  7.5500000      -0.65653281E-02    7.5500000      -0.69626145E-02   0.71046637E-02    1.0000000
  7.6000000      -0.39087718E-02    7.6000000      -0.40101648E-02   0.67566763E-02    1.0000000
  7.6500000      -0.12750629E-02    7.6500000      -0.16828208E-02   0.64463625E-02    1.0000000
  7.7000000       0.12710788E-02    7.7000000       0.10712556E-02   0.63492746E-02    1.0000000
  7.7500000       0.36675002E-02    7.7500000       0.43272418E-02   0.62065438E-02    1.0000000
  7.8000000       0.58557223E-02    7.8000000       0.58433204E-02   0.60763059E-02    1.0000000
  7.8500000       0.77826064E-02    7.8500000       0.74317994E-02   0.59958689E-02    1.0000000
  7.9000000       0.94023934E-02    7.9000000       0.93929982E-02   0.59536279E-02    1.0000000
  7.9500000       0.10678836E-01    7.9500000       0.11050900E-01   0.58517829E-02    1.0000000
  8.0000000       0.11587100E-01    8.0000000       0.11751090E-01   0.59456633E-02    1.0000000
  8.0500000       0.12112298E-01    8.0500000       0.12323187E-01   0.60215196E-02    1.0000000
  8.1000000       0.12256842E-01    8.1000000       0.12992225E-01   0.61551463E-02    1.0000000
  8.1500000       0.12037356E-01    8.1500000       0.12320852E-01   0.60433201E-02    1.0000000
  8.2000000       0.11481140E-01    8.2000000       0.11932738E-01   0.61170766E-02    1.0000000
  8.2500000       0.10625597E-01    8.2500000       0.12279566E-01   0.62934511E-02    1.0000000
  8.3000000       0.95159409E-02    8.3000000       0.11536445E-01   0.63090397E-02    1.0000000
