# data from ifeffit
#------------------------
#   k         chi       k         chi         dchi         win
  10.050000       0.34660695E-02    10.050000       0.62133056E-02   0.97355381E-02    1.0000000
  10.100000       0.35394047E-02    10.100000       0.54368680E-02   0.96731825E-02    1.0000000
  10.150000       0.34976790E-02    10.150000       0.45883170E-02   0.96167228E-02    1.0000000
  10.200000       0.33466879E-02    10.200000       0.32150377E-02   0.96815869E-02    1.0000000
  10.250000       0.30955074E-02    10.250000       0.29336907E-02   0.95446439E-02    1.0000000
  10.300000       0.27560293E-02    10.300000       0.24077001E-02   0.94457994E-02    1.0000000
  10.350000       0.23424400E-02    10.350000       0.97055203E-03   0.93980223E-02    1.0000000
  10.400000       0.18706687E-02    10.400000      -0.23726504E-04   0.93402533E-02    1.0000000
  10.450000       0.13578231E-02    10.450000      -0.63325634E-03   0.91105439E-02    1.0000000
  10.500000       0.82162969E-03    10.500000      -0.15811075E-02   0.89941446E-02    1.0000000
  10.550000       0.27988863E-03    10.550000      -0.30722380E-02   0.88478920E-02    1.0000000
  10.600000      -0.25004873E-03    10.600000      -0.33637453E-02   0.86506380E-02    1.0000000
  10.650000      -0.75177366E-03    10.650000      -0.44353876E-02   0.85173525E-02    1.0000000
  10.700000      -0.12102795E-02    10.700000      -0.46840796E-02   0.84730050E-02    1.0000000
  10.750000      -0.16123800E-02    10.750000      -0.44215013E-02   0.83799195E-02    1.0000000
  10.800000      -0.19470780E-02    10.800000      -0.49323366E-02   0.81683164E-02    1.0000000
  10.850000      -0.22058737E-02    10.850000      -0.47228136E-02   0.82090952E-02    1.0000000
  10.900000      -0.23830011E-02    10.900000      -0.48344809E-02   0.80834699E-02    1.0000000
  10.950000      -0.24755790E-02    10.950000      -0.43780120E-02   0.80840822E-02    1.0000000
  11.000000      -0.24871033E-02    11.000000      -0.41279142E-02   0.80557206E-02    1.0000000
  11.050000      -0.24153195E-02    11.050000      -0.37813431E-02   0.80365612E-02    1.0000000
  11.100000      -0.22650283E-02    11.100000      -0.30228552E-02   0.78206916E-02    1.0000000
  11.150000      -0.20443590E-02    11.150000      -0.28553607E-02   0.78345800E-02    1.0000000
  11.200000      -0.17637114E-02    11.200000      -0.20796547E-02   0.78228438E-02    1.0000000
  11.250000      -0.14353011E-02    11.250000      -0.12117027E-02   0.77735632E-02    1.0000000
  11.300000      -0.10726295E-02    11.300000       0.13392400E-04   0.77374137E-02    1.0000000
  11.350000      -0.68990743E-03    11.350000       0.11032693E-02   0.76664793E-02    1.0000000
  11.400000      -0.30146186E-03    11.400000       0.74939007E-03   0.76785965E-02    1.0000000
  11.450000       0.78842369E-04    11.450000       0.59313826E-03   0.76894164E-02    1.0000000
  11.500000       0.43813419E-03    11.500000       0.13566430E-02   0.75900358E-02    1.0000000
  11.550000       0.76499492E-03    11.550000       0.20244923E-02   0.77257904E-02    1.0000000
  11.600000       0.10498230E-02    11.600000       0.23701626E-02   0.77509061E-02    1.0000000
  11.650000       0.12850918E-02    11.650000       0.24599724E-02   0.76569292E-02    1.0000000
  11.700000       0.14654961E-02    11.700000       0.23483178E-02   0.76143936E-02    1.0000000
  11.750000       0.15879897E-02    11.750000       0.24806804E-02   0.76958702E-02    1.0000000
  11.800000       0.16517263E-02    11.800000       0.19218837E-02   0.76322278E-02    1.0000000
  11.850000       0.16579162E-02    11.850000       0.12921596E-02   0.76477852E-02   1.00000000
  11.900000       0.16096208E-02    11.900000       0.15268923E-02   0.76247863E-02   0.93301117
  11.950000       0.15115003E-02    11.950000       0.13995250E-02   0.76219567E-02   0.74999788
