 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.252 Rnm= 1.298 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.042
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.609E+01 Rs_int= 1.513
 S02  1.000                                        Global sig2  0.00100
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    7274.179    164.295   6.450  1.00111E+00  9.84494E-01  1.67410E-02
    7276.646    166.762   6.500  9.91756E-01  9.82547E-01  9.30079E-03
    7279.132    169.248   6.550  9.83494E-01  9.81463E-01  2.05406E-03
    7281.637    171.753   6.600  9.75745E-01  9.80379E-01 -4.69162E-03
    7284.161    174.277   6.650  9.68718E-01  9.79295E-01 -1.07227E-02
    7286.704    176.820   6.700  9.62568E-01  9.78211E-01 -1.58779E-02
    7289.266    179.382   6.750  9.57397E-01  9.77128E-01 -2.00523E-02
    7291.848    181.964   6.800  9.53247E-01  9.76044E-01 -2.31974E-02
    7294.448    184.564   6.850  9.50111E-01  9.74960E-01 -2.53174E-02
    7297.067    187.183   6.900  9.47937E-01  9.73876E-01 -2.64626E-02
    7299.706    189.822   6.950  9.46635E-01  9.72792E-01 -2.67192E-02
    7302.363    192.479   7.000  9.46093E-01  9.71708E-01 -2.61987E-02
    7305.040    195.156   7.050  9.46709E-01  9.71467E-01 -2.53286E-02
    7307.735    197.851   7.100  9.47900E-01  9.71225E-01 -2.38701E-02
    7310.450    200.566   7.150  9.49557E-01  9.70983E-01 -2.19338E-02
    7313.184    203.300   7.200  9.51573E-01  9.70741E-01 -1.96281E-02
    7315.936    206.052   7.250  9.53849E-01  9.70500E-01 -1.70547E-02
    7318.708    208.824   7.300  9.56296E-01  9.70258E-01 -1.43054E-02
    7321.499    211.615   7.350  9.58833E-01  9.70016E-01 -1.14616E-02
    7324.309    214.425   7.400  9.61391E-01  9.69774E-01 -8.59449E-03
    7327.138    217.254   7.450  9.63908E-01  9.69532E-01 -5.76742E-03
    7329.986    220.102   7.500  9.66329E-01  9.69291E-01 -3.03765E-03
    7332.853    222.969   7.550  9.68691E-01  9.69106E-01 -4.25440E-04
    7335.739    225.855   7.600  9.70961E-01  9.68921E-01  2.09308E-03
    7338.644    228.760   7.650  9.73093E-01  9.68737E-01  4.47250E-03
    7341.568    231.684   7.700  9.75042E-01  9.68552E-01  6.66512E-03
    7344.511    234.627   7.750  9.76761E-01  9.68368E-01  8.62212E-03
    7347.473    237.590   7.800  9.78203E-01  9.68183E-01  1.02961E-02
    7350.455    240.571   7.850  9.79328E-01  9.67998E-01  1.16447E-02
    7353.455    243.571   7.900  9.80102E-01  9.67814E-01  1.26340E-02
    7356.474    246.591   7.950  9.80506E-01  9.67629E-01  1.32422E-02
    7359.513    249.629   8.000  9.80532E-01  9.67444E-01  1.34628E-02
    7362.570    252.687   8.050  9.79875E-01  9.66714E-01  1.35523E-02
    7365.647    255.763   8.100  9.78842E-01  9.65984E-01  1.32549E-02
    7368.743    258.859   8.150  9.77450E-01  9.65253E-01  1.25860E-02
    7371.857    261.973   8.200  9.75730E-01  9.64523E-01  1.15762E-02
    7374.991    265.107   8.250  9.73723E-01  9.63792E-01  1.02691E-02
    7378.144    268.260   8.300  9.71484E-01  9.63062E-01  8.71764E-03
    7381.316    271.432   8.350  9.69068E-01  9.62331E-01  6.98027E-03
    7384.506    274.623   8.400  9.66534E-01  9.61601E-01  5.11703E-03
    7387.716    277.832   8.450  9.63939E-01  9.60870E-01  3.18619E-03
    7390.945    281.061   8.500  9.61334E-01  9.60140E-01  1.24155E-03
    7394.193    284.309   8.550  9.57886E-01  9.58580E-01 -7.22579E-04
    7397.460    287.577   8.600  9.54494E-01  9.57020E-01 -2.63507E-03
    7400.746    290.863   8.650  9.51198E-01  9.55460E-01 -4.45382E-03
    7404.052    294.168   8.700  9.48034E-01  9.53900E-01 -6.14135E-03
    7407.376    297.492   8.750  9.45033E-01  9.52340E-01 -7.66379E-03
    7410.719    300.835   8.800  9.42224E-01  9.50780E-01 -8.98969E-03
    7414.081    304.198   8.850  9.39635E-01  9.49220E-01 -1.00891E-02
    7417.463    307.579   8.900  9.37292E-01  9.47660E-01 -1.09332E-02
    7420.863    310.979   8.950  9.35219E-01  9.46100E-01 -1.14948E-02
    7424.283    314.399   9.000  9.33438E-01  9.44540E-01 -1.17497E-02
    7427.721    317.837   9.050  9.31770E-01  9.42783E-01 -1.16785E-02
    7431.179    321.295   9.100  9.30409E-01  9.41026E-01 -1.12801E-02
    7434.655    324.771   9.150  9.29358E-01  9.39270E-01 -1.05507E-02
    7438.151    328.267   9.200  9.28609E-01  9.37513E-01 -9.49661E-03
    7441.666    331.782   9.250  9.28143E-01  9.35756E-01 -8.13593E-03
    7445.199    335.316   9.300  9.27930E-01  9.34000E-01 -6.49962E-03
    7448.752    338.868   9.350  9.27926E-01  9.32243E-01 -4.63156E-03
    7452.324    342.440   9.400  9.28079E-01  9.30486E-01 -2.58765E-03
    7455.915    346.031   9.450  9.28327E-01  9.28730E-01 -4.34085E-04
    7459.525    349.641   9.500  9.28599E-01  9.26973E-01  1.75526E-03
    7463.154    353.270   9.550  9.29182E-01  9.25614E-01  3.85601E-03
    7466.802    356.918   9.600  9.29641E-01  9.24255E-01  5.82877E-03
    7470.469    360.585   9.650  9.29911E-01  9.22896E-01  7.60196E-03
