# data from ifeffit
#------------------------
#   energy         xmu         bkg         k
  7587.9000        80.929697        81.639320        12.980312
  7592.1200        79.784969        81.564913        13.019700
  7596.1400        80.414279        81.494143        13.059671
  7600.1200        79.469487        81.424259        13.099521
  7603.9500        80.233685        81.357248        13.140346
  7607.9000        79.044077        81.288453        13.181044
  7611.8400        80.103235        81.220224        13.221716
  7616.0400        79.667103        81.147990        13.261178
  7624.1400        78.584437        81.010166        13.299636
  7628.0000        79.844141        80.945172        13.337492
  7631.9700        78.971078        80.878787        13.377297
  7635.9400        78.922938        80.812867        13.418057
  7640.1100        78.789667        80.744128        13.458305
  7644.1900        78.673203        80.677367        13.496298
  7648.2200        78.011737        80.611905        13.534379
  7652.1500        78.534236        80.548525        13.572256
  7656.1000        77.568493        80.485277        13.611182
  7659.9900        77.754464        80.423435        13.649901
  7664.1000        76.951514        80.358575        13.689754
  7668.2100        77.666681        80.294204        13.727870
  7672.3100        76.021515        80.230479        13.765975
  7676.2800        76.653339        80.169237        13.802553
  7680.1400        75.466939        80.110128        13.840074
  7684.0600        76.146347        80.050539        13.877400
  7688.0900        75.801268        79.989738        13.916790
  7692.3200        76.321736        79.926420        13.955505
  7696.4000        75.643887        79.865833        13.992336
  7700.2900        76.266142        79.808509        14.027949
  7704.2300        75.302040        79.750888        14.065056
  7708.0800        75.613478        79.695008        14.101600
  7712.1300        74.879541        79.636680        14.139625
  7716.2400        75.141676        79.577961        14.177640
  7720.3000        75.201433        79.520424        14.215369
  7720.3500        75.331423        79.519719        14.252263
  7724.3200        75.365664        79.463912        14.287045
  7728.1800        75.332054        79.410075        14.322840
  7732.1000        75.101283        79.355830        14.359914
  7736.0700        75.223537        79.301330        14.397529
  7740.2100        75.609133        79.244964        14.434502
  7744.2900        75.085379        79.189882        14.470566
  7748.3400        75.056003        79.135662        14.505999
  7752.3300        74.868926        79.082690        14.541435
  7756.1800        74.834080        79.031993        14.576695
  7760.1200        73.870927        78.980534        14.613035
  7764.0800        74.503314        78.929245        14.651699
  7768.2900        74.312219        78.875189        14.829207
  7772.4200        74.276632        78.822632        14.968788
  7776.2900        73.872582        78.773806        15.002608
  7780.2000        73.819702        78.724890        15.037396
  7784.1800        73.696009        78.675526        15.072452
  7788.1600        74.160207        78.626590        15.108120
  7792.2500        73.110121        78.576749        15.144655
  7796.3400        73.599474        78.527360        15.183949
  7800.4400        72.850723        78.478301        19.014882
  7804.4300        73.367197        78.430993        22.192708
  7808.3300        73.047302        78.385164        24.972885
  7812.1800        73.220130        78.340321        27.474908
  7816.2400        72.755870        78.293460        31.892566
  7820.4100        73.247348        78.245787        35.761721
  7824.5400        72.292054        78.199025        39.259921
  7828.4500        72.565999        78.155171        42.475919
  7832.3800        72.432770        78.111499        45.465229
