e (keV)         k		ksqchi         	ksqdchi			
8.424293578  4.9500000       -1.0650700       0.50814630E-01
8.426197764  5.0000000      -0.98460155       0.52102797E-01
8.428121088  5.0500000      -0.87842624       0.53262933E-01
8.43006355  5.1000000      -0.77024591       0.54536174E-01
8.432025149  5.1500000      -0.65930439       0.56923799E-01
8.434005886  5.2000000      -0.54944320       0.56943382E-01
8.43600576  5.2500000      -0.44916167       0.58600780E-01
8.438024772  5.3000000      -0.36564694       0.60462571E-01
8.440062921  5.3500000      -0.28655029       0.62211267E-01
8.442120208  5.4000000      -0.20160080       0.64162640E-01
8.444196633  5.4500000      -0.12849472       0.64922355E-01
8.446292195  5.5000000      -0.63043493E-01   0.66297990E-01
8.448406894  5.5500000      -0.46434849E-02   0.67303844E-01
8.450540731  5.6000000       0.68065786E-01   0.69312214E-01
8.452693706  5.6500000       0.15384379       0.70662283E-01
8.454865818  5.7000000       0.23799232       0.72480674E-01
8.457057068  5.7500000       0.32745737       0.74772745E-01
8.459267456  5.8000000       0.42805669       0.75859024E-01
8.46149698  5.8500000       0.52142246       0.77618225E-01
8.463745643  5.9000000       0.60822169       0.79935052E-01
8.466013443  5.9500000       0.69005597       0.80673755E-01
8.468300381  6.0000000       0.76055022       0.82399248E-01
8.470606456  6.0500000       0.79254928       0.84454185E-01
8.472931668  6.1000000       0.80336189       0.86123300E-01
8.475276019  6.1500000       0.78587451       0.87474028E-01
8.477639506  6.2000000       0.73484522       0.88797180E-01
8.480022132  6.2500000       0.66546121       0.91089906E-01
8.482423895  6.3000000       0.57743096       0.91709575E-01
8.484844795  6.3500000       0.47819130       0.93985211E-01
8.487284833  6.4000000       0.39666384       0.96199545E-01
8.489744008  6.4500000       0.30095945       0.96697128E-01
8.492222322  6.5000000       0.19578204       0.98502018E-01
8.494719772  6.5500000       0.13821096       0.10145694
8.49723636  6.6000000       0.61422336E-01   0.10307213
8.499772086  6.6500000      -0.22820040E-01   0.10464865
8.502326949  6.7000000      -0.11089004       0.10623727
8.50490095  6.7500000      -0.19885532       0.10783799
8.507494089  6.8000000      -0.28257508       0.10945082
8.510106365  6.8500000      -0.35766774       0.11137314
8.512737778  6.9000000      -0.40958430       0.11337873
8.515388329  6.9500000      -0.44420191       0.11540707
8.518058018  7.0000000      -0.46563323       0.11745179
8.520746844  7.0500000      -0.47411188       0.11928320
8.523454808  7.1000000      -0.46798857       0.12113079
8.526181909  7.1500000      -0.45027539       0.12299461
8.528928148  7.2000000      -0.42244097       0.12514581
8.531693524  7.2500000      -0.38648845       0.12786161
