 name:     copper                                                 Feff 8.10
 formula:  Cu
 sites:    Cu1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, fcc
 Abs   Z=29 Rmt= 1.407 Rnm= 1.452 K  shell
 Pot 1 Z=29 Rmt= 1.353 Rnm= 1.390
 Gam_ch=1.729E+00 H-L exch
 Mu=-7.603E+00 kf=1.992E+00 Vint=-1.688E+01 Rs_int= 1.821
 S02  1.000                                        Global sig2  0.00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    0/   0 paths used
 -----------------------------------------------------------------------
      k          chi          mag           phase @#
    11.7000    0.000000E+00  0.000000E+00  0.000000E+00
    11.7500    0.000000E+00  0.000000E+00  0.000000E+00
    11.8000    0.000000E+00  0.000000E+00  0.000000E+00
    11.8500    0.000000E+00  0.000000E+00  0.000000E+00
    11.9000    0.000000E+00  0.000000E+00  0.000000E+00
    11.9500    0.000000E+00  0.000000E+00  0.000000E+00
    12.0000    0.000000E+00  0.000000E+00  0.000000E+00
    12.0500    0.000000E+00  0.000000E+00  0.000000E+00
    12.1000    0.000000E+00  0.000000E+00  0.000000E+00
    12.1500    0.000000E+00  0.000000E+00  0.000000E+00
    12.2000    0.000000E+00  0.000000E+00  0.000000E+00
    12.2500    0.000000E+00  0.000000E+00  0.000000E+00
    12.3000    0.000000E+00  0.000000E+00  0.000000E+00
    12.3500    0.000000E+00  0.000000E+00  0.000000E+00
    12.4000    0.000000E+00  0.000000E+00  0.000000E+00
    12.4500    0.000000E+00  0.000000E+00  0.000000E+00
    12.5000    0.000000E+00  0.000000E+00  0.000000E+00
    12.5500    0.000000E+00  0.000000E+00  0.000000E+00
    12.6000    0.000000E+00  0.000000E+00  0.000000E+00
    12.6500    0.000000E+00  0.000000E+00  0.000000E+00
    12.7000    0.000000E+00  0.000000E+00  0.000000E+00
    12.7500    0.000000E+00  0.000000E+00  0.000000E+00
    12.8000    0.000000E+00  0.000000E+00  0.000000E+00
    12.8500    0.000000E+00  0.000000E+00  0.000000E+00
    12.9000    0.000000E+00  0.000000E+00  0.000000E+00
    12.9500    0.000000E+00  0.000000E+00  0.000000E+00
    13.0000    0.000000E+00  0.000000E+00  0.000000E+00
    13.0500    0.000000E+00  0.000000E+00  0.000000E+00
    13.1000    0.000000E+00  0.000000E+00  0.000000E+00
    13.1500    0.000000E+00  0.000000E+00  0.000000E+00
    13.2000    0.000000E+00  0.000000E+00  0.000000E+00
    13.2500    0.000000E+00  0.000000E+00  0.000000E+00
    13.3000    0.000000E+00  0.000000E+00  0.000000E+00
    13.3500    0.000000E+00  0.000000E+00  0.000000E+00
    13.4000    0.000000E+00  0.000000E+00  0.000000E+00
    13.4500    0.000000E+00  0.000000E+00  0.000000E+00
    13.5000    0.000000E+00  0.000000E+00  0.000000E+00
    13.5500    0.000000E+00  0.000000E+00  0.000000E+00
    13.6000    0.000000E+00  0.000000E+00  0.000000E+00
    13.6500    0.000000E+00  0.000000E+00  0.000000E+00
    13.7000    0.000000E+00  0.000000E+00  0.000000E+00
    13.7500    0.000000E+00  0.000000E+00  0.000000E+00
    13.8000    0.000000E+00  0.000000E+00  0.000000E+00
    13.8500    0.000000E+00  0.000000E+00  0.000000E+00
    13.9000    0.000000E+00  0.000000E+00  0.000000E+00
    13.9500    0.000000E+00  0.000000E+00  0.000000E+00
    14.0000    0.000000E+00  0.000000E+00  0.000000E+00
    14.0500    0.000000E+00  0.000000E+00  0.000000E+00
    14.1000    0.000000E+00  0.000000E+00  0.000000E+00
    14.1500    0.000000E+00  0.000000E+00  0.000000E+00
    14.2000    0.000000E+00  0.000000E+00  0.000000E+00
    14.2500    0.000000E+00  0.000000E+00  0.000000E+00
    14.3000    0.000000E+00  0.000000E+00  0.000000E+00
    14.3500    0.000000E+00  0.000000E+00  0.000000E+00
    14.4000    0.000000E+00  0.000000E+00  0.000000E+00
    14.4500    0.000000E+00  0.000000E+00  0.000000E+00
    14.5000    0.000000E+00  0.000000E+00  0.000000E+00
    14.5500    0.000000E+00  0.000000E+00  0.000000E+00
    14.6000    0.000000E+00  0.000000E+00  0.000000E+00
